,text,label
0,doing climate change work help mem im so confused,0
1,you know it's climate change when sundance swag goes from puffy to windbreaker,1
2,The science is settled is probably what waa said before it was discovered to be a globe. Stop being close minded climate change could be natural.,-1
3,you need another handout and as for the kicking of ass...I think it was BYEDUMB who shit his pants...pope style and fart himself..Dutch style and dream land over the climate crisis and humpty dumpty fallen down.. shitden had to have ass cleaned yesterday...to keep his BULLSHIT IN ,-9
4,"Haha sure Joe is ending all coal jobs so this union is looking for career suicide asking the Dems for a damn thing ""climate change "" and bullocks",-1
5,Covid?...but last week it was climate change that did this...anything but the failed Biden policies I guess..,-1
6,Libs like you say climate change is real because science so. But science says you're either born a man or a woman. U say science is wrong.,-1
7,Don't believe this corrupted democrat there no climate change crisis just democrats trying get rich with there fake clean energy company s look at Biden selling are oil reserves to China the democrats will force you into a electric car just get rich,-2
8,"""Oh sure go for it dude say what you need t-....o-oh climate change....that's...you know that's...yeah""",0
9,i want extinction of machhar thats it. am done.,-9
10,My 7 year old nephew thought climate Change was a football team what 8 year olds sits there talking about COVID and Climate change load of bollocks. ,-1
11,RT Ps they got the carbon formula wrong the risk of a climate change do to mans polloution is at the very bottom of the chart there is a global competition to dis credit the green rip off i suggest use junk fish for food instead of gates soylent green sorcery,-1
12,That competition bureau complain against ought to be a shoe in. ,-9
13,Imo why democrats are pushing climate change so hard is its more money in their pockets. They know it's fake but it's all brainwashing people to take thier money,-2
14,More media bullshit and lies how much are the media making for reporting all the bullshit from covid to climate change bet it's kept shit rags like you going for the last few years your scum,-2
15,"Mmmm OK let me say this OK all cat's and Dog's love fish and meat ,what ever pet oner feed's them dry up rubbishness are stupid , like the VAX like climate change, omg its mental lol ooooo OK lol",-1
16,The only reason you think we went to the moon is people told you we went to the moon. The only reason you believe in man made climate change is someone told you it's happening,-1
17,"Bullshit..pumped hydro is an absolute scam..like batteries, a fantasy of the AGW cult..with no consideration for cost or efficiency...another net negative RE project..",-1
18,unless global warming has gotten a lot worse than i thought this is clearly nowhere near the ural mountains,0
19,"chocobos fuck so hard man, theres no extinction for them",-9
20,y'all are going to hell for this and bp is literally ambassadors for climate change have some decorum for god's sake ,1
21,"Well, my chids are doing the same early blooming. Climate change is a hoax apparently",0
22,RT my god im so lonely so i open the windows to hear sounds of people to hear sounds of people venus planet of,-9
23,They the real reason for global warming as soon as them thighs spread you see them lil waves when you open an oven,-9
24,Ah yes propaganda hysteria pushing toronto star pushing climate alarmism. There is no climate emergency. It's all bs .. another distraction to control people and keep them from going after corrupt elites.,-2
25,The ice age was a true climate change humans will not stop what the earth will do,-1
26,"Well if you *personally* are affected, then I guess everything you feel must be true. Because that's how science works. ""It's hot out today so global warming is real"" is somehow an argument from the people who said ""it's cold outside so global warming is fake"" wasn't one.",-1
27,the owner of greenhouse effect has sexually harassed every femme i have brought there lmao,-9
28,No different than what democrats are doing on climate change y'all really act like democrats are for the people or planet they're for their donors just like republicans,-1
29,something something something but how are fires related to climate change something something shall be their response,-1
30,It was clear dry blue skies not 20 minutes ago. Now it's a damn near snowstorm. But nah climate change is a hoax amirite ,1
31,"The trillions of dollars handed out to rogues in the name of a fake climate crisis.if there really was a climate crisis they would fix it for free, we have a war tax.",-1
32,It's gone be raining and 100 degrees but they'll tell you global warming ain't real lol,1
33,Nah they had a 60 minutes i watched on it a couple years ago. Phoenix is blowing up like crazy same w Vegas. Niggas is not supposed to live in the desert lol. Their water demands are sucking the lake dry plus climate change. States beefin over the water. ,1
34,no i mean 😭 you said armyblink mass extinction,-9
35,im legit so tired of global warming bro fuck this,1
36,That was so stupid Biden sad that about oil what is going on with Russia is just the start won't just be Russia people all over the world counts on oil not a green deal or global warming its called mother nature hello anybody there you can't stop mother nature,-1
37,"yeah just like covid19 has a mind of its going so does ""global warming"" they call each other and say hey lets go after black and asains and let it all blame back to white people.",-1
38,climate change and agrotech .... yup defo nothin,0
39,"nw moonfall, okay but does N01 remember that movie geostorm like im sorry how r more ppl not confounded by a movie about a space satellite made to fix global warming being hacked and also gerard butler is in it like???",-9
40,Yea but it snowed somewhere so climate change must be a hoax. Thanks republicans!,1
41,Ugh...these articles keep repeating the same b.s. they were trying to scare public with 30yrs ago. ITS HORSESHIT!...The climate change bullshit is nothing more than a money grab...just like every other single fuking thing democrats try passing. Stop falling for the b.s.,-2
42,That because these rich elitist kno that climate change is a big hoax that is only intended to keep the peons inline,-2
43,2 doctors? It's kind of like how th right who deny climate change say to listen to the 3% if experts who disagree,1
44,Its almost like you're comparing very real threats from veey real man made climate change to like free college or something with 10 dollar words lol,1
45,93 and going up 96 cool tonight 75 🙏🏽 the grid holds ac on medium 79 🥵 next few weeks ..no relief heat dome yeah climate change ..friend said something whack yesterday said Scientists been alarmed since ‘70s OIL WON like Tobacco 😑 ,1
46,"My suspicion, why I asked. That guy never responds. Lots in oil biz believe climate change just not that it's anthropogenic.",0
47,This is not fake news. this is real. it proves that man can from one man and one woman at a certain time not long ago. no monkeys and no darwin. just poof. animals all came about at the same time. how is that possible? the big bang which is when god... ,-9
48,"incredible things happening w/ animals wild & domestic. projector tv's were a strobe light to dogs, now they can watch the new hd ones. dogs are the gods of the animal kingdom, forest fires on the other hand, alike war when radiation tubes in the hate radiation deflecting house",-9
49,Can you say propaganda in the largest amount oh my Lord that shirt is so wrong you people are lying you won't make up anything to get your agenda you are evil climate change is a lie !,-2
50,why are all linkedin posts like “when i was 5 years old my parents did not buy me ice cream to teach me the value of money. now i'm 15 and i'm the head of nasa engineering and for fun i like to solve climate change”,-9
51,And forest fires smoky hochey. ,-9
52,Yes it has been running cycles since before man was even on earth. Much higher carbon levels as well. Climate change is real. The liberal overreacting is stupidity,-1
53,Yes their is climate change...always...the stupid thing is humans think they can change something they never created.,-1
54,ok so normal climate change denial. yes it changes. its getting bad. yes we did it via the incentive structure of capitalism. clean air is a luxury like shelter and food is a luxury. its luxurious to be alive apparently,1
55,Haha. Just means they are all full of shit on climate. And their is no such emergency.,-1
56,Nah bro global warming is a lie shu hay,-1
57,Your an idiot also. Climate change is irrelevant if nuclear weapons are used as Putin has thre,0
58,RT Man all that money and budget to police and they can't tear gas climate change who knew.,1
59,well...he diNt say AGAINST climate change so no surprise there,0
60,i'm bummed out they not gonna release the ballons like they used to b cause of the climate change clowns and that qualifying will only b one wekend in may not like the traditional 2 weekends in may as it has been,-1
61,sleaze is normal climate crisis is BS illegal migrants are a threat - simples,-1
62,That stained glass is beautiful! But yeah snow in may that's on climate change lmao,1
63,no one was talking about climate change before adam mckay,0
64,that's got nothing to do with climate change absolutely nothing,0
65,this article is a joke when I read this it got me laughing for 10 minutes what they saying it is not scientific there is no scientific evidence in what they say it's to get you to believe there is climate change before technology ,-1
66,this is a total load of bullshit you will never reach 0% carbon its just a green dream ...this and global warming is controlled only by mother nature end of,-1
67,it's hot cause of global warming get yo facts straight ho,1
68,One true thing you said. Climate change is made made nonsense. F u c k you,-1
69,let's play a game of is it climate change or is it normal for south italy to rain consecutively like noah is counting the last cockroaches on the ark and then excruciatingly hot breaks inbetween like legit christmas in july,1
70,"The sickness this stupid ass climate change give ya, on top of da covid goin round, boy everybody sick lmao. Not me tho, y'all be blessed.",0
71,global warming already actin upit feel like mid-april outside rn,1
72,"it was 63 degrees in Antarctica yesterday/but hey global warming a ""hoax by the Chinese""..at least they'll all be warm in Siberia",1
73,It's crazy the right been saying Elon is part of the woke climate change agenda. Man people have memories of a gold fish.,1
74,Yes but as part of a natural cycle. I'm not persuade by the man made argument.,-1
75,"RT trump warned us about epstein ""he likes the ladies, some say he likes them young"" ... not enough to get sued but enoug",-9
76,"Nope she's just wanting to lower taxes, feck climate change was my interpretation. Agree currently it's all ineffective anyway.",0
77,RT the Hebrides intrigue me so even b4 call the midwife tv show...call the midwife were there was a great arc 2 the stories...luv the waves global warming... ,-9
78,If only scomo pushed election date to July.the climate change wankers and Greens would have been wiped ,-1
79,It's all the systemic racism..I mean climate change Didn't ya know,-1
80,It's just a way of getting more taxes. Climate change hoax is a money making machine for the wealthy and it's also about control.,-2
81,Be like say they've gone on extinction,-9
