,text,label
1276,"the swiss invented this one tho. I understand the Trinidadians love the steelpan but come on, people in China have been banging shit against pans and barrels to make music too.  pic.twitter.com/nu41svMYtV",1
2882,⚠️🏀 Lance Stephenson Among Former NBA Players In Limbo Because Of Spread Of Coronavirus In China -  https://nbanews.pwastart.com/latest-news/lance-stephenson-among-former-nba-players-in-limbo-because-of-spread-of-coronavirus-in-china/?utm_source=AP … CLICK to read 👈 Live News 24/7 ⏰ PLEASE RT and FOLLOW 🙏😎 #NBAnews #NBAupdates #NBAlive #NBAtwitter,1
472,"This was supposed to be a Meme year. We was supposed to be making jokes about weed and 20/20 vision all year and now Kobe and Gigi gone, we almost in WW3, and this new Virus in China spreading everywhere. IT AINT EVEN FEBRUARY YET!!!! It’s too much man. I LOVE YALL MAN ALL YALL.",0
3218,"How ur r poor pakistan stding in china, those who had money thy go to china",1
1982,US Treasury removes currency manipulator label on China  http://dlvr.it/RN12Zp  pic.twitter.com/oih9K0DBeu,1
3921,@PeteButtigieg China has been buying up real estate in the USA & propping up values making it hard for Americans to become home owner. We aren’t allowed to invest in theirs. Will you ban China from buying up housing here?,1
3017,Pulse Survey: China Coronavirus Countermeasure  http://bit.ly/315dxLJ  #Coronavirus #China #HR #GlobalMobility #relocation,1
839,China which is state capitalist and India which is capitalist? Uhh  And pretty sure people *checks notes* are the ones that created and perpetuated capitalism,1
49,When do we fire missiles at China and India's coal power plants?,1
3947,"""About 80% of world goods trade by volume is carried by sea and China is home to seven of the world's 10 busiest container ports... A closure of the world's manufacturing hub impacts container shipping at large...""  https://www.cnn.com/2020/02/05/business/shipping-coronavirus-impact/index.html …",1
1699,"MANZHOULI  - 1st one is a stock photo,upon close inspection,something strange going on.The 3rd - put yoself on the imaginary ground with that,how come them video niggaz never showed no shit like this? -Ghost Cities of China  pic.twitter.com/OXXavGFiJK",1
1068,Do I wish he was more forthright in condemning China and Cuba? Yes. Should he avoid these topics because they require too much nuance to make palatable for the general public to consume? Yes.,1
4052,Cloud working aids Chinese companies amidst epidemic Source: China Daily  https://thetop10news.com/2020/02/20/cloud-working-aids-chinese-companies-amidst-epidemic-2/ …,1
1680,And dont forget that both China and Russia may be willing to support Iran to gain influence in the region at best it would worsen our relationships and trade with theese countries and at worse could escalate  to a world war,1
195,Calls for a US 'digital dollar' rise as China powers ahead with a digital yuan  https://cnb.cx/2TPHJZO ,1
2797,"@lookner  “Ground Zero"" For China's Virus - Hubei Province Prepares 100,000 Hospital Beds | Zero Hedge  https://www.zerohedge.com/health/ground-zero-chinas-virus-hubei-province-prepares-100000-hospital-beds …",1
165,China has been flying what it calls 'island encirclement' drills on-off since 2016. #FMTNews #Taiwan https://www.freemalaysiatoday.com/category/world/2020/02/09/taiwan-scrambles-jets-as-chinese-air-force-flies-around-island/ …,1
3058,Coronavirus COVID19 Truth china is hiding from the world  https://youtu.be/LkpTJXn9_gg  via @YouTube,1
202,Pretty rich coming a week after he praised China for swiftly executing drug traffickers,0
840,"Coronavirus 'whistleblower' nurse says China has 90,000 sick  https://nypost.com/2020/01/26/coronavirus-whistleblower-nurse-says-china-has-90000-sick/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons … via @nypost",1
2585,Love this.... China is not refusing to buy soybeans.  There only use for GMO soybeans in soy meal.  When you lose 50% of your pigs.  Which is 5 times the North American production they have no need for them.  Wake up gfo.  You need livestock do you use up your commodity  pic.twitter.com/G2i2Idl6cQ,1
1294,No it's not! You believe China was full disclosure and that is insane to believe.,1
274,buy America Trump makes his merch in China and He Hired H-1 visa  Foreing workers Lol,1
790,"#CoronaVirus / #COVID19 ain't the normal, garden variety seasonal flu... If the data is correct, then we are approaching ~3.5% mortality. Ordinary flu is less than 1% mortality... However, I suspect China's numbers are way off (an order of magnitude?). Just sayin'... Not sayin'.  https://twitter.com/jondutoit/status/1236852269963857920 …",1
1258,Welcome to Kenya Republic of China😂😂,1
2161,Coronavirus need to get a handle on it see how quick it spread in China from a fish market but where's the source where did the virus come from,1
3799,"Top story: To Tame Coronavirus, Mao-Style Social Control Blankets China  http://www.nytimes.com/2020/02/15/business/china-coronavirus-lockdown.html …, see more  http://tweetedtimes.com/NiemanLab?s=tnp ",1
2561,Simulating the Spread of Epidemics in China on the Multi-layer Transportation Network: Beyond the Coronavirus in Wuhan.  http://arxiv.org/abs/2002.12280 ,1
386,"Amazed Gov seems unconcerned about all small business  #coronavirus could go on for 12 month  no trade with China personally I hope so  no rush back to trade , is a must  as far as I know we make no Tv or white goods now  serve u right aus now learned lesson manufacture  again  https://twitter.com/PerthWAustralia/status/1226840464902352898 …",1
1636,"Make no mistake this is going to have a huge impact in the economies of China and southeast Asia, especially since it coincides with the Chinese New Year #Coronavirus",1
3892,"Continuing with the military engagement after the #DoklamFreeze, Northern Army Command chief Lt Gen Ranbir Singh leads delegation to China, holds talk with Gen Han Weigou, Commander PLA Ground Force, to further enhance peace & tranquility along the borders.  pic.twitter.com/PZqirJDBHK",1
