,text,label
454,"It's not happening in #HongKong. USA,UK are the same. This is #China's invading.  pic.twitter.com/U2z129WLBq",-1
1431,CCS Book Talk by YAN LONG: Finding AIDS Villages: Transnational Information Politics of Infectious Diseases in China @ 180 Doe Library. Tomorrow (2/7) at 4 p.m. She looks back at the history of AIDS in China and the implications to the coronavirus situation. #IEASatBerkeley pic.twitter.com/Y7bUiEcK2O,0
2703,"ICYMI: China is making strides. #ClimateChange is a COMMON ENEMY - we have to fight it alongside other countries, but DJT is rolling back environmental regs. Our air quality is worsening!  The U.S. left a hole in leadership on climate. China is filling it.  https://www.politico.com/story/2019/08/15/climate-china-global-translations-1662345 …",2
1189,"China coronavirus spread is accelerating, Xi Jinping warns – NEWPAPER24  https://newpaper24.com/china-coronavirus-spread-is-accelerating-xi-jinping-warns-newpaper24/ … pic.twitter.com/b32CN3GOtH",1
1655,"Immigrants from the top five countries of birth (Mexico, China, Cuba, India, and the Dominican Republic) accounted for 38% of people who received greencards in 2017.",0
3633,Hong Kong not China.  Hong Kong is restricting Chinese access.,0
3586,China is a much greater threat to the US than Russia on multiple strategic fronts. Where are Democrats on the issue?,-1
2856,"I have seen video from China where the iron gates have been wielded, mud and stone dumped outside the house gates, and other such acts, to trap people inside the houses.",-1
2898,"This is an unprecedented number of people on quarantine  lockdown!  I’m not a fan, but China is clearly taking this Outbreak seriously!   That begs the question, why isn’t the WHO?  Why isn’t Canada?  Why are planes from China still being allowed to land in most Nations!  https://twitter.com/InstaNewsAlerts/status/1220380186430058497 …",1
3170,i will fly to china to cut kuanlins hair,1
2957,Exclusive: China halts British stock link over political tensions - sources  https://kfgo.com/news/articles/2020/jan/02/exclusive-china-halts-british-stock-link-over-political-tensions-sources/970827/#.Xg3qyBvYCrI.twitter …,0
2767,And why the Left should be focused on the disgusting practices of #China. Remember when they had to stop all production prior to the Olympics due to dumping in the ocean? And yet they scream about the US. #coronavirus https://twitter.com/ColumbiaBugle/status/1220581164370427906 …,-2
3498,"Would be interesting to know what other warlords called their palaces. In China it was generally something very benign and peaceful like ""Palace of the White Orchid"" or virtuous like ""Home of Upright Wisdom"" depending on how often they killed people. (Orchid would be the killer)",1
3542,"FFS read the god damn article people. This is in China, where most players are okay with this kind of stuff. Stop being hysterical.",1
3398,"There was never a deal. Weren't the Chinese supposed to come over here and make a big deal out of signing on to the ""first phase"" of the trade deal? That never happened. I'm sure China wouldn't be signing a deal that allowed the tariffs to stay.",-1
1736,China was planning biological warfare; #coronavirus ‘leaked’  https://www.sirfnews.com/china-was-planning-biological-warfare-coronavirus-leaked/ … via @SirfNewsIndia,-2
3726,"I longer feel good of Indian Soldiers killing poor naive paki soldiers, their families and then the disrespect to their bodies! Thanx to RWs the MEA has decided to now evacuate all neighbouring nation citizens from China, and I guess Pak does share border with India 😷",0
861,"a whistleblower says “I am a senior Chinese military intelligence officer and I know the truth about the coronavirus outbreak. It is far worse than the media are telling you.” “Insider,” says coronavirus is a cover story for a biological agent to depopulate china & the world!",-2
69,Not all Brits are against China. With all respect Mr. Dixon  Brave Mr Bean impersonator stuck in Wuhan refuses to fly back to Britain in case he spreads coronavirus – The Sun  https://www.thesun.co.uk/news/10940626/coronavirus-mr-bean-impersonator-refuses-leave-wuhan/ …,1
877,"People saying, “Don’t use China,” just have no clue. It’s impossible to not have a supply chain involving China. Check your own “made in” tags.   And also you’re missing the point.   Coronavirus isn’t being covered accurately.  https://twitter.com/Cernovich/status/1230736582765772800 …",0
3924,"Barr delivers ominous warning, says China wants to own the world  https://fxn.ws/397MnXs  #FoxNews",-2
1654,"Why? So you can get the Russians (or China, or whomever you’re blackmailing at the time), to cheat for you. Or perhaps you’re adding that equation in on your daughter’s voting machines that China is busy working on for her.",0
3003,Coronavirus spread is ‘accelerating’ says China as death toll rises to 41  https://youtu.be/lg925coC5sc  via @YouTube,0
1495,Search #WuhanOutbreak. There's more body bags in videos alone then China is reporting,-2
1123,"China Has Ground To A Halt: ""On The Ground"" Indicators Confirm Worst-Case Scenario | Zero Hedge  https://www.zerohedge.com/economics/china-has-ground-halt-ground-indicators-confirm-worst-case-scenario …",0
1460,ME PASO EN EL SUPER QUE LA CHINA RESFRIADA CORTABA FIAMBRES ME SENTI MORIR  https://twitter.com/joaquinmoreira_/status/1234138381019467778 …,-2
646,Federal quarantine order issued for 195 Americans who returned from China: WHO declares global health emergency as virus spreads to 20 countries.  http://dlvr.it/RP8LPm  #25thAmendmentNow #ImpeachTrump #TheResistance pic.twitter.com/SpEC4vdSkF,0
240,"Ok here’s simple math. Say everyone who attends a Michigan football game (100,000) has the flu. 100 will likely die. If they all have Coronavirus, 3,400 will likely die (using China’s and Italy’s current rate).",0
3937,China says AI robots won’t lead to significant job loss  https://www.techinasia.com/robot-lead-significant-job-loss …,0
2313,How China?s Belt and Road initiative is choking the Mekong River  https://japandtheworld.com/2020/01/29/how-chinas-belt-and-road-initiative-is-choking-the-mekong-river/ …,-1
2819,If China is able to contain a city of 11 million people to avoid a #CoronavirusOutbreak  I think they need to write a book on what to expect when you have a Toddler!,1
1482,"and China’s PM was also seen offering Namaz in a Mosque.  Allah says in Quran: “And Allah is the best of planners.” – [Quran, 3:54]    pic.twitter.com/EVG5mm0XKN",0
3563,"It is atheist rulers in China, Russia and North Korea who mistreat others, especially Christians. It is Christians who take the gospel to the world, sometimes at their own great peril because Jesus is the Savior of the world.",-2
968,"New Article: Tesla says will deliver second batch of China-made Model 3s on January 7    https://tradeforprofit.net/2020/01/tesla-says-will-deliver-second-batch-of-china-made-model-3s-on-january-7/ … #businessNews January 2, 2020",0
1304,"I’m pretty sure the Capitalist roaders in China didn’t even speed up industrialization, which is the entire reason the capitalist phase was theorized by Marx. I’m pretty sure it’s been following the same general trend set by the Maoists. Fuck revisionism, revive Maoism in China",0
1142,the reall image of the Republic Islamic of Iran mullahs regime! It is so similar to #covid19 Both came to Iran in February! Both hate's alcohol Both kills people Both are good related with China Both are despicable Both must be eliminated immediately! #IranCoVidTruth #covid19iran pic.twitter.com/Y3xOzBKOqv,-1
2558,"It’s not useful since the official infected n death no. r fake😰 Multiple videos, audios n SNS posts from Wuhan show the situation is much worse than what China claimed  I put some tweets tgt for ppl who can’t read Chinese 👇🏼 be aware, be prepared, n pray  https://twitter.com/ann_ann721831/status/1221642704771141633?s=21 … https://twitter.com/ann_ann721831/status/1221642704771141633 …",-2
3678,"BreakingNews: US federal health officials say a case of the coronavirus from China has been diagnosed in Seattle, according to reports.  https://www.nbcnews.com/health/health-news/1st-case-coronavirus-china-confirmed-u-s-n1119486 …",0
839,China which is state capitalist and India which is capitalist? Uhh  And pretty sure people *checks notes* are the ones that created and perpetuated capitalism,0
1881,"Meanwhile in Washington, the President just signed a landmark Phase One Trade Agreement with China — making good on his promise to fix the failed policies of the past by fighting for American workers and American industries.",0
386,"Amazed Gov seems unconcerned about all small business  #coronavirus could go on for 12 month  no trade with China personally I hope so  no rush back to trade , is a must  as far as I know we make no Tv or white goods now  serve u right aus now learned lesson manufacture  again  https://twitter.com/PerthWAustralia/status/1226840464902352898 …",-1
3675,Just think if she went to China we would never hear from her again,-1
