,text,label
1086,Seth Rogen smoked a Ton of weed before he smoked a ton of weed,0
1383,"Remember when Trump said he was going to solve the opioid epidemic ""easily"" and then did literally nothing about it.",-9
1577,"Burlington, CO just extended its ban on marijuana shops, in a big victory for families there. This is thanks to continued exemplary service to his community, and was glad to be a part of it as well. We care about every town, big and small.",2
2467,Cops will arrest someone for smoking weed and then drive home to use steroids and beat their wife. ,-1
3052,Child sex trafficking seems similar to being a drug dealer in that these niggas also don't get high off their own supply,-9
3025,Weed out of stocks...... . Bad rabbits is a collection of 100 uniquely rabbits which available to collect By Millx. Link : https://t.co/XMgboYn0rG #NFTTHAILAND #Nfts #crofam #Cronos #NFTIndo #NFTCommumity #nftcollector #NFTCollection #NFTThaicommunity ,-9
261,"On the day of a new government Drugs Strategy, we announce our funding of a forcewide expansion of the adult drug diversion programme, working with to provide support to break the cycle of drugs and crime. #drugstrategy ",2
852,"Lmao weed, smoke, gas, loud, zaza are the most common names for it now",0
193,Legalize weed and decriminalize possession of all drugs. Happy for the 75 people but the war on drugs affects millions.,-2
4171,"It is like drug addiction.Addict destroys his family to satisfy his urge,he does not care about his or his near and dear ones well being,he will kill his mother or wife to get money for drug.",2
276,"Peace love and weed is what this amazing Tuesday is all about stoner family! Stay greened,stay lifted,be kind ",-1
1487,i expect the weed man to be up whenever i text for weed or ima get shitten,-1
292,What type of weed would have given this guy this type of inspiration?,-9
2236,"Today I identify as liberal. Pro choice, pro social healthcare, pro legalized weed, pro gun control. But I am anti stupidity (i.e. woke). American have lost the ability to think for themselves. Easier to just buy into what nytimes tells you to think. And I do troll Xians forfun",-2
322,Millions of New Yorkers no longer have to worry about popping hot on a weed test. See more:  ,-2
2378,"More like 6 YEARSthere are people in prison in Michigan for over 10 years for possession of a bag of marijuana for Christ's sake. Six months, fucking ridiculous. ",-2
682,"You're both absolutely spot on only one is morally right and the other's not so lmfao even more! Come on Sherlock hit me with your best comeback, you must have something better than that for an ex drug addict who's minds been warped yet is now light up like a Christmas tree ",0
2771,"Although I don't have experience in the Cannabis, I'm happy to lend a hand.",-1
2454,"Many children and young people are brought into the UK by criminal gangs to be exploited for domestic labour, benefit fraud, sexual exploitation or to commit crimes such as drug dealing, cannabis growing or begging.",1
1450,What the hell are you talking about? Of course it's open and has been since Buden took office. That poor National guard who just died saving ILLEGAL drug dealers.,0
1447,"Orphan, 14, snatched from street by men and forced into cannabis farm ",1
1161, i better stay out of the weed or that whole thing gon be gone today,-1
4089,RT Drug abuse isn't benign & only impact the user. The devastation left by the addict permeates their immediate family & community. ,2
1978,"There's food and supplements that you can take legally that will better your body and help you stay healthy. Shortcuts are something that's always been around all sports, but as a union, we're trying to do the best we can to weed those guys out of the game. MUNAWAR FOR THE WIN",0
873,"385 N Park Ave, Ptown, CA Free weed, free tacos, free bacon wrapped hotdogs, + las putas ",-1
2242,if u ain't got a job i ain't tryna see u tweeting about no gas prices and your weed man prolly pull up to you for free anyways,-9
1708,They like to hide in blanket weed. Don't usually see newts in our pond until after the frogs have been and gone.,-9
2318,"I should have never went to college. I should have stayed in my hometown and bought a shack, grew some weed and cheated on my taxes. For someone of my social status that was the right choice. America is the big lie .",-1
1660,"Great insights and a great job of laying out the problem. Also, good to note what hasn't worked because that's often a step towards finding what does work Which large US cities have the least homelessness and the least illegal drug use? What they are doing right might be a clue.",0
1107,"""As traffic grows at the U.S.-Mexico border with the easing of restrictions from the COVID-19 pandemic, law enforcement officers are finding increasing amounts of illegal drugs.""  ",0
863,If the whole world gets in on using cannabis to prevent covid we want reparations for everyone with marijuana related drug crimes smh,-2
1659,so i ended up just selling the rest of them. very happy i didn't take them bc now i have $ for weed ,-1
571,The war on drugs doesn't work it's been happening for over 40 years now.,-1
2366,I thought it was still much more common for illicit pills sold as alprazolam to contain RC benzodiazepines instead of fentanyl. That's concerning.,-9
492,few things are funnier/scarier than seeing mall santa walk into a weed dispensary on his lunch beak.,0
2739,"Connecticut receives more than 15,000 retail marijuana license applications Connecticut officials say adult-use marijuana stores could open by late this year. #Connecticut  #Cannabis  ",-1
1056,"You sound like you should be working at a cannabis dispensary, stick to analyzing what goes in your pipe before you smoke it.",-1
4259,Odisha Police doing commendable duty in curbing drug menace. Value of seizure need to be reported in terms of quantity only. Giving a monetary expression may lure more young people to commit more crime. #dgpodisha.,1
1600,"she laughed when she twirled both of them, nodding. yes! weed is amazing, how can anyone hate it? she giggled. oh i overheard some guys talk about it so i just showed up. it's nice to have vamp hearing sometimes.",-1
2844,"that isn't the case at all. literally if you read the article, they cannot find people who use the addons aka if you don't show anyone you're using them, they have no problem with it smoke your weed, just don't let them smell it",-1
642,Laughable at best. You have to live in a cave to not realize the majority of Americans smoke weed. I would think sharing with each other would share any illness that's contagious. ,-1
1675,You don't know heartache until you knock over the weed you just grinded off your tray,-1
2507,"One doctor said of my cpps requiring opiates, Do you really think you're doing these people a favor? Another time I was told giving methadone to an iv drug user withdrawing being treated for endocarditis was illegal' and I could be reported to the state for this.",-9
1331, It's 4:20 somewhere did you #Burn1ForJustice today? is building an ecosystem of blockchain based technologies to work within the #cannabisindustry. #hiphop #NFTs #NFTCommmunity #NFT #cannabis #shib $ETH #Crypto #Burn1 @CryptoCannaClub,-1
975,"What's your plan for 420? Shop with us and receive upto 30% for any strain chosen. Visit our site for more info on medical and recreational weed for cancer, anxiety, back pain, seizures, depression ",-1
2529,sexy heels...love`em. bought a pair of shoes from a drug dealer I dunno what he laced them with but I've been tripping all day.,-9
3877,"I couldn't stand her three dogs, the massive cannabis consumption and that I ought to care about her family, too. I had to accommodate her family in my small apartment. Her father, a homeless, was somehow ok, but I couldn't stand her young handsome loafer chad brother.",1
2688,This is sad because soo many people suffer wether dying or living in pain from trying to get help from doctors those doctors in the hospitals are not doctors a real doctor makes people better not worse. They are not real doctors they are legal drug dealers. ,-9
1831,"I also totally googled if medical marijuana was available in my state but it seems super super limited. So, bummed that's not an option for now. I don't want to just be taking ibuprofen every other day forever.",-1
834,I love weed so much cuadre you are insanely correct,-1
2559,What about holding the Sacklers responsible and making them pay for rehab of those addicted to opioids? How do you get past NIMBYs for your temporary housing? We've done the War on Drugs for 40 years and it's only ever lead to more death and violence,0
85,$ATNF  CNN's Dr Sanjay Gupta speaking to Joe Rogan and mentions Prof Raphael Mechoulam: Co-Founder 180 Life Science ($ATNF) The GodFather of cannabis research. ,-2
429,Ahhh yes! This is the news I needed to see today!  ,-9
1871,"not like opioids or anything that someone would want to try and steal , but the usual meds people take like heart cholesterol etc. have a pickup location in a retail space where people can just go and grab stuff and not be handcuffed by store closures or anything ",-9
446,"""If I can expose what I've been through and someone else can relate, maybe they can take some inspiration from it. Rapper, on her ADHD diagnosis and how cannabis has helped her to find focus and calm. Read more  ",-1
