,text,label
0,And you support the right to gun down anyone that makes you nervous or fearful? What kind of a man are you?,1
1,"He was 17 & armed, a technicality allows 17 yr olds the use of such weapons evidently for hunting, but surely not for use in a mobile self defense force in riots. The entire point of the law is that 17 yr olds are not mature enough to use such weapons for paramilitary purposes.",0
2,"Please stop this, this is incredibly harmful to the Howell family. Julius Jones had his DNA tested back in 2018 and was found to be a match to the gun and bandana he claimed he never even saw that was found in a crawl space above his bedroom. ",0
3,He literally threatened to nuke civilians for not turning in their AR-15's. ,1
4,"RT off gets mad when gun calls him p'off, and he's so ready to break the machine because its causing them to fight #OffGunxMintClassOf2021 ",1
5,RT - #BADLOVE collectibles - SPACE RAY GUN VER. - postcard x 3 - PC x 4 - poster x 2 BOX SET VER. - collectors card x 3 set x 5 cards each (includ. PC) - folded poster x 2 - poster x 2 BOOKLET VER. - postcard x 3 - folded poster x 2 - PC x 4 TAPE VER. all standard #KEY ,0
6,"He had the right to use force, but with deadly force you have to prove your life was in imminent danger. If the dad was a imminent threat BEFORE step dad brought out the gun it would be justified. Step dad unnecessarily provoked the situation by pulling a gun at dad.",0
7,"...fingers held up by the football team represents the 5 students that were murdered in cold blood by a mentally deranged individual that obvious needed help. Unfortunately, what we see too often from MSM like CBS is a push to gun control instead of addressing the problem of...",0
8,It doesn't matter if they are ineffective. And enforcement is also a problem; the people who say that are very same members of Congress and the gun lobby who then cut BATFE budgets to make it impossible to enforce the law.,0
9,"Ok, let's compare. Jan 6, a public building had some items moved around and some windows may have been broken. Kenosha riots. Numerous businesses burned, millions of dollars in damage to predominantly minority owned businesses. Predominantly minority livelihoods destroyed in a",0
10,RT Attacks against civilians are set to heighten as Duterte desperately wants to make it appear that he is winning the war against the armed revolution and that he will crush the NPA before his term ends. State terrorism is incentivized with billions of pesos in NTF-Elcac funds. ,0
11,"I'm so sickened by all the gun violence in this country and especially the violence committed against children, In SCHOOLS!!! Mr. Guttenberg, my heart goes out to you and your family for what you have been through. ",0
12," This is our National Character, the Resolve of our Citizens, the Faith in our Armed Forces! These Emotions & the unstinted Support, drive us to carry on; to protect the Nation, even to the peril of our lives! Jai Hind.  ",0
