,text,label
1,"RT Put it back in, were not done yet #ts #trans #femboy #femboi #pansexual #bisexual #gay #sissy #lgbtq #porn #bareback #cute #bussy #creampie #cumshot #flopping #ridingdick #cowgirl #goonerbator #gooning #gooners #keepstroking ",-9
3,"RT LGBTQ asylum seekers at the shelter from El Salvador, Guatemala, Honduras, Jamaica, Mexico & Nicaragua are stuck in Tijua",0
4,I'm very LGBT supportive so that's okay with me stop being gay,1
8,RT Good morning to and happy Saturday to everyone that commends Pizza Hut (in spite of their pizza ) for supporting our LGBTQ youth during pride #GoWokeGoBroke,2
10,"Did you see on same subject yesterday? Also very, very good.",-9
13,RT I have seen a trending topic on Sodom and Gomorrah in relation to the lgbt+ in Ghana. The story of Sodom and Gomorrah h,0
15,RT Parenting: 'My grandson is gay and I'm struggling with it' | Newstalk: Main image: A Pride parade. Share this article. Read more about. Grandchildren Grandparents Lgbt Parenting Teenagers. Most Popular. ,0
16,Why they needed a law not to teach about LGBTQ to k-3rd grade I'll never know. You don't teach sex ed to these age groups so... ,-1
17,RT Enjoying the sunshine in Telford #blonde #lingerie #SundayMorning #stockings #heels #thong #LGBTQ #Pride #Pride2022 #SundayVibes #SundayMotivation #pink #summer #transvestite #crossdress #crossdresser #Heatwave2022 #Sunday #heatwave #chester #uk #SundayFunday #Sundaydinner ,-9
20,RT Viktor isnt the only LGBT character in the show. Klaus is Non binary pan sexual. Theyre also my favorite character.,1
21,"RT Instead Of Kryptonite, New LGBTQ+ Superman Will Be Crippled By Anyone Using Wrong Pronouns via @TheBabylonBee",-1
24,"RT Biden has pretty quietly racked up a string of really big legislative victories. Maybe if the Republicans took a few minutes away from bullying LGBTQ folks, they could mount a counteroffensive. #bidenwins",1
26,Ummm.... what?! Derek chauvin is canceled af where tf you seen him in public? Just do me a favor: go to your favorite URL and type in canceled for blackface. I can also tell by your last statement you think of black people and LGBT as two separate communities.,1
27,"RT This administration wont stand for bullying or discrimination of any kind, & will use our authority to protect, support, and provide opportunities for LGBTQI+ students and all students. ",2
28,"its just insidious - our narrow way (theirs) and no other. They're the ones who are authoritarian and forcing others to comply or be excluded. LGBTQ+ is inclusive, and means you can be who you actually are.",2
29,RT i'm part of the lgbt community & this is my best friend [Prada's 10/10 show curtain] she's an ally ,2
30,"Catholics call out the Church all the time, they check their religious leaders 10x more often than the LGBTQ questions their own leaders who be doing & saying nutty stuff. At some point you gotta wonder why the Right is gaining so much public traction while your movement is not.",-1
32,RT ***What are you reading? *** I've been sprinting through some fab LGBTQ historical romances this month and am currently loving the heck out of Black and White by Ruby Moone! ,1
34,"And yes, self care is important, I absolutely agree. But it's hard sometimes not to feel at least a little bit guilty for spending time on the frivolous, when we're faced with the constant assault on LGBT rights from fascists who have only escalated their hatred in recent years.",2
36,"RT Conservatives really are just revisiting the Boys Beware style scare propaganda against LGBTQ+ people, huh? Teaching kids that straight relationships aren't the only kind of relationships, and that gender is complicated is getting called grooming. Absolutely laughable.",2
37,"RT Regardless of your sex or gender, if you're in a relationship with someone bisexual, you're in a queer or LGBTQ+ relationship. Hetero passing couples aren't heterosexual couples.",1
39,"Because that's what they are considered by most people. Even, ironically, in the lgbtq+ community. That's why you have some gay people assuming others sexuality cause they ""sound or act"" gay. And it isn't just older people either.",1
40,"RT Trans activists, comedians grapple with Dave Chapelle's 'complicated' Netflix special ",0
44,RT Check out my brand new Patreon page! #lesfic #lesbianromance #lesbian #wlw #lesbianfiction #lesbianbooks #lgbtq #lgbt #romance #queerbooks #loveislove #lgbtbooks #ffromance #queer #kindle #lesbians #lesbianauthor ,1
45,RT We love this inclusive reading list for school students from A great resource for inspiring some independent reading over the summer holidays... ,-9
48,"Because our society has mixed gender and sex in an unhealthy way. Hence my original post. And as far as I can see, there's no clear cut biological definition of sex, that doesn't exclude people who would now be safely included. I'm for trans rights. I'm against abuse.",2
51,"RT Personal perspective it lands how comfortable they were as friends. Objective context its weird to be touched from the back by anyone. Subjective to a homophobic perspective it does lend itself as off. Twitter never allows for differing perspectives, its so weird. Niright nonke ",-9
52,I support reparations for my people who descended from chattel slavery as does he. His sexual orientation is not my business or concern.,0
