,text,label
0,"RT We have extended the deadline to apply to be a senior #LGBT counsellor! 5pm 24th January Apply at https://t.co/Zku2cNuT7s We particularly encourage applications from people of colour, trans and non binary people to help us best reflect our communities. ",-2
1,love im not assuming anything he literally donated $42k to ANTI LGBT politicians ... he does not like us,-1
2,"I wonder if there will be a response, but its just kinda crazy for them to have Pride Radio and play songs featuring someone who spoke so poorly about the LGBTQ+ community and then doubled down on it. Youre better than that! ",-1
3,RT Like I am genuinely interested in who this type of person should be reserved for if we are using education and success as a barometer? Like never mind the kids part but how did we get to a person not being homophobic or transphobic becoming a preference? ,1
4,"RT Garden State Equality is one of our HIV Is Not A Crime partners and New Jersey's largest LGBTQ+ civil rights organization.They educate and advance the movement of equality through advocacy, policy work, and training. #HIVIsNotACrime is possible with a grant from ",-1
5,RT Hello I would like a white supremacist settler colonialist fascist nazi homophobic ableist transphobic queerphobic classist patriarchal colonial racist heteronormative fatphobic bi erasure cisgendered word salad with a side of fries myself please.,1
6,"RT Isnt he head of the LGBTetc committee in the Commons? Thats some massive admission that he, and by implication they, dont care at all about LGBT youth and other kids harmed by their own ideology.",-1
7,RT This conferences success is a testament to all the hard work YOU all have done & I couldnt be more proud! I am lucky enough to have a strong network of Queer medical colleagues & now thanks to so many LGBTQ+ med students now have their own growing networks! ,-1
8,"You people are soft. It's comedy. Chapelle had a very close trans friend that killed themselves after the LGBTQ warriors attacked them for supporting Chapelle. Dave loved the trans person dearly. Notice they didn't kill themselves due to comedy, it was their own kind.",-1
9,RT Russian legislation is still too strict with the #LGBTQ,-1
10,"Not just one man, actually! People who worked with her said that for the last six months she has been too busy with her leadship campaign. She is known for championing LGBT rights and is very woke.",0
11,"RT Did you know?? I still have TWO spots left for #Pride Scarves! Support an LGBT business & show off your colors, don't miss out! Check my ! ",-2
12,RT Why this is so tiring and pernicious. The prerequisite for dating is for the other person to be male. Thats the essence of being a gay man. This is what we have been arguing and why this is - conversion therapy. 1/ ,-1
13,"TW: Pedophilia, incest, transphobia, homophobia The explanation of how Larissa32801681 managed to make both her ships creepy and disturbing. You can see how homophobic and soon transphobic that she can be. ",-1
14,that conversion therapy bs lil nas x is doing is disgusting and insidious. The reason shit like this happens. He needs to just come out as bi. ,-1
15,"When was Braum & Sett officially confirmed LGBT? Assuming that's true, that doesn't stop them from adding more Champs to the LGBT camp. People can keep getting more.",-1
16,That's exactly it and it's always the loud ones that shouldn't always be the one speaking to make the image of the lgbt worse,-1
17,"RT It's well known that democrats can o ly care about LGBTQ rights or make government work. It's literally impossible to do both. Mutually exclusive. Fareed Zakaria is very smart, you see. ",-1
18,RT Dave Chappelle Says U.S. More Offended by DaBaby's Homophobic Comments Than Killing a Man #JimAndSam ,0
19,RT https://t.co/WDnej3xJhd Commander Stephanie Sterling to take part in UKs first LGBTQ+ wrestling event via PCW UK Live Wrestling by @notCursedE,-1
