,text,label
305, Lots of news and developments with  shady relationships and other powerbrokers under the gun.  is a more level playing filed and transparency going to happen?  is a guest on Making Money with Charles Payne.PS I will also ask why this hashtag trended #KenGriffinLied,-9
720,"Machine Gun Kelly, Tour 2021 ",-9
167,"New post: ""An Apparent Ransomware Hack Puts the NRA in a Bind"" ",0
369,As one of the short armed community I've always appreciated the selfie stick. ,-9
235," The Kenosha County Eye was the first and ONLY news organization to speak with #grambo , aka Joann Fiedler. She gained overnight fame after testifying in the #rittenhouse case - she came to Kenosha on August 25, 2020 packing heat. Stay tuned for our story.. ",0
431, TRAGIC: A 5-year-old child in Minnesota was shot and killed on Thanksgiving by a 13-year-old who accidentally fired a gun while making a video for social media.Who agrees children should NOT have unsupervised access to LOADED FIREARMS? ,1
72,"Oh yes, a bunch of nerds criticising gaming journalists is EXACTLY the same thing as two mass shooting in a Mosque and a capitol attack. Of course! Go home Brianna, you're drunk!#GamerGate #BriannaWu ",1
247, No way he tweeted that without a gun pointed to his head..... #39 is out here threatening guys to praise his performance with lies ,-9
963, No AD yells COLD GUN The armourer or prop person is supposed to PERSONALLY show you the gun so you can see it is empty for yourself. Then I dry fire it into the ground. I have NEVER been handed a gun by an AD & I've been handed 100 guns & I've never heard COLD gun in 40 years,-9
366,"Of your people was hungry and you knew there was a food and water shortage and they came to your house because they knew you had enough to share, would you greet them with a gun? And if they're not his people then take your sh..t outa their neighborhood",-9
863, The proud boys and oath keepers are not independent groups. They're the armed wing of the Republican Party.,-9
607,I am done. How can the PM excuse this? What message is he sending by allowing someone like this to continue to walk the halls of power using taxpayer's money to employ racists. Laming also uses taxpayer money to threaten women's advocates with defamation.  ,-9
468, Kyle Rittenhouse should sue Joy Behar for every penny she's worth.,-1
941,Saying we should put the right to live peacefully ahead of gun rights means eliminating gun rights. This is explicit. You're playing make-believe.,-1
259, The 2nd Amendment is our last and final guarantee.,-2
53, Remember: early voting has already started! You can find info on your local Gun Sense Candidates (as well as @TerryMcAuliff,1
606, GIVEAWAY TIME! We are celebrating our spot in the Legends stage and are now giving away an AK-47 Gold Arabesque to one lucky winner! Just click the link below and follow the instructions to enter!Giveaway ends Monday 8 Nov.#BeHeroic,-9
501,4th year since Las Vegas massacre: 'Be there for each other' ,2
219,Fantastic!,-9
406," I remember losing a classmate when I was in 10th grade to a car crash, it still feels traumatic. I can't even fathom what these kids are going thru in America on a regular basis. Its pure evil what the NRA has done to US w/ not even shred of morality on the part of the GOP. @GOP",2
958," NEW ON CNN: After a recent record number of gun sales, passengers are bringing firearms to American airports in numbers never seen before. It's a huge problem according to the TSA. Officers found 4,650 guns so far in 2021, surpassing the full-year record from 2019. ",0
134," ""We must do more to halt #Iran's regional terrorism,"" said We saw with recent #Iranian-sponsored drone attacks on:American troopsIraqi Prime Minister ArabiaIran's armed drone capability presents a growing threat to the Middle East",-9
515,Nope. 2nd civil war with heavily armed MORONS.,-9
498, This reminds me of that South park episode where Sharon was the only one up in arms about the  shootings ,-9
711," Well said  ONLY IN AMERICA do we see a steady stream of mass shootings on a regular basis, while Republicans bought & owned by the gun lobby's money block any meaningful legislation to end the carnage. #ShameOnThem_ShameOnUs ",2
918," Illinois State Police Director Brendan Kelly said in a statement that beginning on Friday, ""preventive patrol presence"" will be increased by 157 percent. ",-9
163, I wrote about Halyna Hutchins and the corner-cutting on the set of Rust. All of the film-industry workers I spoke with emphasize that this is not just about gun safetyit's about producers' prioritization of speed and profit over the lives of crew members ,-9
592,"Your fire arms and ammo were counted and put on a list and sent to the president. Yes,your guns were regulated by the govt.They knew who had the guns and how many. There is not one single word in the 2nd amendment that states your guns can't be regulated. Thats the way it started",1
410," NEW:  Feds recommend three months prison for Jan 6 defendant Virginia Spencer, who allegedly entered Speaker Pelosi suite, took photos amid mayhem, had 14-year-old child ""in tow"" with her .. and wore ""F** gun control"" shirtShe pleaded guilty to misdemeanor & has prior offenses ",-9
180, The 2nd Amendment was written by Americans who just fought a war to defeat Tyranny. The 2nd Amendment guarantees Americans right to defend against EVIL in all forms. NEVER let anyone take that right from you. #2ndAmendment  ,-2
210," Can we stop pretending that Republicans can be reasoned with? They don't care when children die of COVID or from gun massacres. They protect (white) rapists and shame survivors. They call women ""host bodies."" They promote and defend white nationalism. They. Are. Terrorists.",2
781, The Kyle Rittenhouse case is over and the defense hasn't even called a single witness yet!,0
989,Gun Safety:ALWAYS TREAT AS IF IT IS LOADED.    KEEP FINGER OFF TRIGGER UNTIL READY TO FIRE.                                         KNOW WHAT IS IN FRONT AND BACK OF YOUR INTENDED TARGET.                DO NOT AIM UNTIL READY TO FIRE,0
477, Megan Fox watching Machine Gun Kelly rock out on stage at the Toyota Music Factory  ,-9
951,I believe she's posting a happy time for her family I do also believe that she's making a statement has to do with our Second Amendment rights we have a right to own guns and she has a right to share them with your family not your choice,-1
889," Yes, lots more facts needed.  I love Baldwin, but why was he pointing even a prop gun at people AND pulling the trigger?  And one imagines  that one wouldn't fire the second shot (unless he was was acting very quickly). ",-9
427," For the first time since the 1976 season, the Cowboys will wear a red stripe on their helmets to honor our country's armed forces and Medal of Honor recipients at the Salute to Service in Sunday's game against the Broncos. ",-9
221,"John McClain never tries to just hug it out, put the gun down",-9
231," BREAKING: Gabby Giffords' organization files huge federal suit against the NRA, accusing it of using shell companies to illegally funnel $35 million in campaign contributions to major Republican campaigns like Trump's, Josh Hawley's, & Ron Johnson's.  IF YOU SUPPO THIS SUIT!",1
589," Savathun: ""Look at that little gun in your hand. What do you think you're going to do with that thing?""Me: Put you in it...Savathun: 0.0",-9
