,text,label
574," For years sexual abuse in the armed forces has gone unreported. Now in the wake of #MeToo, shocking allegations including rape are surfacing in the military. investigates. ",-9
223,"Local58 be like:""Moon's haunted.""""What?""*cocks gun* ""Moon's haunted.""",-9
484," #Iran's Armed-Drone Prowess Reshapes Security in Middle EastTehran uses off-the-shelf components to build armed drones used in attacks that challenge the U.S. & its allies in the Middle East, knowing the Biden administration is hell-bent on appeasement.",-9
894," If anybody put a gun in my face ima start suckin on it, pull the trigger you gay ",-9
803, no shit...not saying Cuomo is OK but ...wow. Dems really do bring pillows to gun fights.,-9
472,"I got a massage gun for Christmas and smh, the best shit ever.",-9
782," ""Convicted pedophiles, armed with guns, stalking around Kenosha threatening to shoot people can be turned into 'peaceful protesters.' Fires that burn on camera for all to see can be erased from the collective memory."" By @DouglasKMurray",-1
365, Gun disarmament really means gun concentration in the hands of government.,-2
602,Need my gun license fr . I don't be feeling comfortable going places with Emory by myself sometimes,-2
320,"Leftists think that strengthening government economic control is good, until the eventual destruction of the competitive market eliminates the incentive to produce. Forced labor at the end of a gun won't be enjoyable.",-9
864," The ""death by a thousand cuts"" strategy.  Also being used to attack gun and abortion rights. ",-1
201, crying why can't he fire a gun like a normal person ,-1
481,New York AG: Easier In Some Places To Find A Gun Than An Apple  Bearing Arms ,1
856, Remember when this football coach named Keonon Lowe stopped a mass shooting? Took away the weapon and gave him a hug. Wha,1
718," Let's be clear: In a state with extreme gun laws like Stand Your Ground and permitless carry, Texas lawmakers just financially incentivized armed vigilantes to use guns to intimidate, threaten and even kill pregnant women and abortion providers. #txlege ",-2
91," Leading up to the 2020 election, the NRA continued to take money from its charitable arms and steer funds to its political groups. by @annalecta",0
954, Oddity of the week #3A Free French Universal Carrier modified with a 25mm SA 34 anti-tank gun in North Africa. This type of conversion was widely used by the Free French there as well as in Syria and Lebanon. ,-9
928,Clips should be limited to 3 rounds; never needed more than 3 shots to put dinner on the table.Nothing will change if you ban assult rifles; you cant even define what an assult rifle is. An AR-15 is a 22 rifle with cool looking plastic around it.100% background cks will help.,-1
