,text,label
688,RT Its funny that half these people crying about vaccine mandates and loss of bodily autonomy also believe that women shouldnt have access to abortion as if the right to choose doesnt fall under bodily autonomy. Cant be for one and against the other.,2
1439,Last poll I saw abortion as a main issue was about 8% you're setting yourself up for a hard fall if you think what majority of voters are thinking about.,0
1427,Healthcare is not a right. Abortion is yhe opposite of healthcare.,-2
299,"RT Justice Sonia Sotomayor denounced her anti-women right wing colleagues for looking ""the other way"" on Texas' abortion law: ""I cannot."" ""This case is a disaster for the rule of law and a grave disservice to women,"" the justice wrote in a scathing dissent ",2
1402,RT The Fifth Circuit is set to hear oral arguments next month in a case over Texas near-total abortion ban. @CNSkirkmcdan,0
2585,"RT How many times do we have to say it, abortion is murder of a life created by God in his image...regardless of how he/she got there the fetus is still a living human being...I'm sick to death of women using abortion as a form of birth control..it's not, it's murder",-2
451,"Sire, you are one of the wisest people on the subject of Wh Sup that I have ever heard. However, I need you to show me in the King James Bible from 1611, where the Supreme Being says he approves abortions. Ici e mon proof dat u r wrong! ",-2
2070,RT The way to argue this is to point out that Abortion isnt strictly a religious issue. It is wrong to take the lives of innocent human beings Abortion takes the lives of innocent human beings Therefor Abortion is wrong (Cont)..,-2
837,"Im reading it more as if your main goal is less abortion, making it illegal wont work that well. Which feels fair. Simply working for illegal abortion = more child poverty (which in this country leads to death) and more maternal death.",2
2465,Demons live through these people. They channel beelzebub and lord of the flies. Their sacrament is abortion and genital mutilations,-2
1011,cancelled abortion. singled out trans kids. and kush still aint legal???? yeah FUCK ABBOTT ,2
1142,RT Colorado will be blue as soon as the Gov signs the bill ,-9
2374,"RT #DeathSantis #RonDeNazi #ForcedBirthDeSantis Amid abortion battle, DeSantis vetoes birth-control funding again for low income women ",2
88,"Need to rid these money sucking gynos. Theyll its normal, birth control will help you until you need to get something removed. ",0
854,"RT PRAYER WARRIORS: This leak was meant to intimidate the Supreme Court into backing down. Pray for the end of Roe v. Wade. Pray the Court will defend innocent life. Pray the Court will stand strong. Evil MUST not triumph. Science, common sense, and LIFE will win. ",-2
660,"RT What? Dd you know ""abortion"" was legal until about 1910. Did you know that the International Covenant of Political and Civil Rights is an International organization. So, does the entire International community need to rethink what rights are? Or maybe you're on the wrong side.",1
149,RT i am pro-abortion. i would like to increase the number of abortions to the exact point that everyone who wants one can get it quickly and safely.,2
408,"RT The deepest-reddest states don't have sufficient OBGYNs. They already have high maternal mortality rates. ""Anti-abortion"" rebranded to ""Pro-life"" because it market tested better; it's roots come from racism. It has never been about life. It has always been about control.",2
141,"I honestly just see a lot of scared people in this thread. It seems like the old Cons think young kids are going to vote Liberal or NDP. topics like abortion, climate change, LGBTQ rights are on young ppls minds. People like Pierre Poilievre are ruining the Fed Cons. Fact",0
2091,"RT ...Having a MAGA-hatted, racist, pro-life high school student abusing an elderly Native American was a fact too good to",-9
253,"I believe in a woman right to choose. If you want to stop abortion. Make it a law that all men have to have a vasectomy, he can reverse it when he wants to procreate. It takes two to tango.",2
2356,"RT When we share #OurAbortionStories, we help eliminate the stigma surrounding abortion. Abortion is normal. #AbortionIsHealthcare!",2
3001,"RT As an adoptee, I endorse every word of this. Opinion: Take it from an adoptee choice is what matters | CNN ",-9
743,RT These FORCED BIRTH States threatening to convict a woman who goes to another state for an Abortion are INSANE! Whats next? Convicting someone who smokes pot in CA because its illegal in their own home State? #DemVoice1 #VoteBlue2022,2
916,"RT Once people in the West realise their problems stem from Zionist control over their governments, great social movements will give birth to a new world",-9
2318,"RT banning abortions doesnt prevent abortions, it prevents safe abortions. those with money & power will always be able to find a safe abortion when they need one. criminalizing abortion is an attack on disenfranchised communities who dont have the same level of access.",2
143,"Unions mean higher wages. If your a social conservative that means one person can stay at home. It means less poverty so you'll see less crime, lower divorce rates because of the stress money problems create, less abortion because people can afford kids.",-9
375,"Love the cover but an article about ""preparing for life after Roe v Wade"" suggests women will just have to ""adjust"" to not having body autonomy. Unless the article is about how to vote out those politicians trying to control women's bodies and make medical decisions for us,no",2
1972,"RT ""We urge the Members of the Senate to stand for our nations mothers & most vulnerable unborn by rejecting this extreme nominee, & we encourage the nomination of a judge who will honor our Constitution & the right to life."" -",-2
2358,"Presidents dont make laws, as you know. But, Trump has endorsed and supported numerous pro-life candidates who wouldnt have won otherwise.",0
2400,"RT , I am a woman who defends any woman's right to CHOOSE!. I lost 5 of my 7 pregnancies by miscarriage. Two brilliant sons and Yale bunch of Grandkids..doctors, scientist, etc.The USSC should make rulings on men's reproductive rights if they wish to rule on women's! ",2
804,"RT ""This right of privacy, whether it be founded in the Fourteenth Amendment's concept of personal liberty and restrictions upon state action..[or] in the Ninth Amendment..is broad enough to encompass a woman's decision whether to terminate her pregnancy"" Roe v Wade,410 US 113, 153 ",2
712,"Nobody said you had no right to your body. Were advocating equal rights, which isnt being recognized in the case of abortion; youre denying the preborns RTL.",-2
1985,"RT There are people who have dedicated their lives to increasing access to abortions. But now is not the time to create safe spaces & do abortion charity IN PLACE of a society wide fight to keep abortion legal. If Roe falls, we are sacrificing women. We need to be in the streets.",2
230,"Forcing a woman to carry an organism in her body for 9 months she does not consent to is punishment, yes. I absolutely consider that controlling and it should be addressed, especially if access to abortion was clear and easy.",2
1162,"RT NEW: Mississippi clinic has just filed its response brief in Dobbs v. Jackson Women's Health Org, the abortion case coming",0
782,RT NEW: The demonstrations that briefly disrupted last night's abortion debate resulted in 25 cabortion rights activists getting one-year bans from the Florida House. Police also arrested a Planned Parenthood organizer. For @TB_Times: ,0
1478,"RT U.S. appeals court reinstates Texas abortion law, two days after it was halted ",0
2437,"RT The WSJs statement here about lack of medical reasoning completely misses extensive studies of chemical abortion complications. Not to mention cases of coercion, trafficking, and other malintent is not even addressed! No Rs getting off the hook with this bogus reasoning! ",1
331,"RT I know none of this matters because McConnell doesn't make up these new ""rules"" in good faith. But man, Democrats really need to recognize that's the case and exploit his twists of logic when they provide an opening like this ",-9
939,RT Forced birthers are not capable of being factual. I went to the University of Manitoba where I learned not to impose my personal views on patients and the facts about abortion. Too bad they couldn't teach you that at Oxford. ,2
1462,"and my heart goes to millions of Polish women who feel oppressed by anti-abortion laws in their homeland, homeland ruled by party that undermines democracy and the rule of law in its approach to the judiciary, media, public appointments and civic rights.",2
2414,"RT Abortion will never become unthinkable. Your movement will fail. Abortion is normal, natural Healthcare and as long as pregnancy exists so will abortion. The majority are prochoice",2
943,"RT GOOD MORNING ABORTION PROVIDERS! Today and every day we #CelebrateAbortionProviders because of their deep commitment to their communities. Theyre committed to just, liberated futures. They act with love and trust. Thank you, to everyone making abortion care possible.",2
2242,only someone who doesn't need or easily has access to abortion would say something like this.,1
348,Lol! 'Leftism is fascism'. 'Abortion isn't healthcare' You are so far gone down the Kool-aid rabbit hole it's hysterical. BUH-BYE CRAZY.,1
604,This woman is a judge and she cannot offer her opinions or thoughts on viability of an unborn baby on live television. ,0
542,They were probably doing to be losers anyway is a pretty weak justification for abortion.,-1
528,RT Nobody is happy or excited about getting an abortion. Its traumatic and often not actually by choice. Would you penalize a woman who just had a miscarriage?,1
573,"The point is that denying someone communion for supporting abortion is about theological doctrine, not politics.",0
2460,"Personally, I would choose adoption over abortion. But I appreciate having the choice. The lives of many will be harmed if #RoeVWade is overturned. More poverty. At higher costs to women, eroding equal rights. #notdemocracy",2
