,text,label
0,"Union City's elections are akin to North Korea's. No one dares challenge Brian Stack for fear of retaliation. And it shows in town politics. Selling marijuana's banned, and not only are they not building affordable housing, they're actively blocking it in Hoboken.",-9
1,"there's 40,000+ americans incarcerated for marijuana possession.. but this man can fatally shoot 2 people w an assault rifle & be found innocent. make it make sense ",-2
2,Takeaways from Our Conversation on State Cannabis Regulations and Their Impact on Insurance #cannabis #cannabiscommunity #weed #marijuana #thc #cbd #cannabisculture ,-1
3,"As N.C. continues to struggle with opioid epidemic, naloxone shortage could lead to thousands of overdose deaths. Because North Carolina Republicans are just that good. ",-1
4,I really can't smoke everybody weed niggas be selling some boof where is the fire ,-9
5,the use of crackhead and the connotations behind using crack to describe things is anti-black and comes from reagan's war on drugs which disproportionately criminalises black folks,-2
6,if you need me i'll be smoking more weed & giving less fucks,-1
7,"Baked 4 packed cups of kale this morning and it's already gone between the three of us. Made kale chips with tahini, fresh garlic, olive oil, dill weed and apple cider vinegar.",-9
8,I'm trying to make my flame thrower snow & weed removal & performance business happen. I think it's a winner.,-9
9,It's also the case that people who think this are often only thinking of national scale politics without looking much at state and local. Your local elected officials have way more direct impact on quality of life on shorter time scales. Look at weed legalization in the states.,-1
10,I have heard recordings of that call. It turned out that the caller was a cop who had pilfered confiscated weed from an arrest.,-1
11,"And as we all know, the Feds are always truthful and abide by their own rules and laws, even when they want to entrap someone, right? Drug dealer: ""Are you a cop?"" Cop: ""No."" DD: ""You wouldn't lie, would you?"" Cop: ""Never!"" Why are we even playing this game? ",-2
12,"As I watch someone I know circle the drain in the worst way, seeing the NYT glamorize addiction and substance abuse is fucking gross. As always, the New York Times is trash. ",1
13,"Deadly drugs like fentanyl cross the US border every day, but preferred to declare war on the importation of Mexican avocados instead of drugs, affecting at least 300,000 direct jobs, and more than 1,000 ,000 indirect. ",1
14,"Tell me have you heard of Hog Weed? No well you should see the horrific burns to my assistance dog, why are no warning sign up about this dangerous plant",-9
15,DITTO thank u for the borger *takes comically large bite from it*,-9
16,"This year, we teamed up with two experts to envision a new kind of spirit. Pulling inspiration from the golden era of cannabis in the late-1800s American West, fermented and distilled hemp is blended with botanicals & natural terpenes for a distinctly West Coast flavor profile. ",-1
17,"Day 105 of calling on to call a Special Session to decriminalize marijuana, pardon nonviolent cannabis offenders, expunge past cannabis convictions, and set up a legal, regulated, adult-use marijuana market with home grow protections.",-2
18,"More data on the #cannabis & #schizophrenia relationship... Association still =/= causation, and in fact cannabis exerts a 'modulatory effect.' #ksleg ",1
19,"when cole left me aurora, tyler, ezra, some other people started smoking some weed and i talked with ezra while listeningbto crystal castles then bump into Renee. it was sick and theres so much more but im too lazy to type it all lolll",-9
20,This group of dangerous synthetic opioids that can be up to 40 times more potent than fentanyl. ,1
21,Weed being legalized in New Mexico just means the guy in Turquoise telling u about sacred geometry will now feel god levels of fearlessness reeking of weed in your place of work,0
22,"NEXT WEEK: ""Drug War Dragnet: Surveillance, Criminalization, and Freedom from Drug War Targeting"" April 27th 12-1:30 EST Keynote with April 28th 12-6pm EST Sessions with Amazing Speakers All Day! RSVP: ",0
23,"If your drugs are tested, too high a dose & unsafe combinations are the main dangers. Drug-drug interactions can be unpredictable and synergize intensely. Something as simple as an antihistamine can potentiate the power of an otherwise survivable dose of opioids to a fatal one. ",0
24,5. CBD  basically the marijuana babies. pretty prepared group. they always know what they want and the ratio. but incredibly anxious and/or terrified of cannabis. Usually supports topicals or tinctures. Easiest difficulty,-1
25,Stop CokBlok'N Da Weed And Pushing That Test On Me! It's Getting Old And I'm Gonna Face Anything That Haunts Me. And I Will Still Win. ,-9
26,without fake climate scam you would be either a drug addict in south africa or a shoe salesman in toronto. Youre a pathetic fraud and low iq con man,-9
27,"As cute as they are, I hate the show for glorifying the idea of dating a drug dealer.",-9
28,"if kim potter never intended to hurt anyone, how come she never helped daunte wright as he was dying? also i know ppl serving longer sentences for weed than this bitch will for killing someone ",-1
29,I know :( Can't tell if it's current substance abuse or the remnants of substance abuse.,-9
30,SAFE Banking should actually help the small dispensary more bc the Curaleafs and Trulieves of the world already have full credit facilities/banking services. It's many Mom & Pops stores that don't. So the misconceptions that SAFE predominently benefits Big Cannabis is baffling.,-1
31,marijuana needs to be treated more like wine and less like heroin,-1
32,"Every time Gov. Tate Reeves goes to bed, Christine Loftin says, she hopes ""he sees this kid with a black eye; and every time he sees somebody with a black eye, he thinks of my child and how he is holding up the process of us getting our medication. 30 ",-9
33,"#MarijuanaStocks  $IONKF  #OTCQB  $IONC  #CSE #IONICBRANDS A national #Cannabis holdings company based in Washington, led by a team of successful entrepreneurs.  $STEM $BGFV $SMFR $CAN $EVGO $CGC $SBSW",-1
34,"New York legalized marijuana and is expunging possession and sale convictions. This is what justice looks like  and it's what every American deserves. It's time for the Senate to pass the MORE Act, legalize marijuana across the country, and expunge all non-violent convictions.",-2
35,ah see mines an L and i guess the front looks like that but the l part is on wall under window tho so i feel like seeing the squirrels and kids play + sunlight boosts the creativity also weed but idk lol,-9
36,RT UMMMMMMMMMM IM SORRY I GOT SHAKEN OFF MY CHAIR ???? EARTHQUAKE OR THIS WEED IS HITTING ME TOO HARD,-9
37,It's a stressful job that's why I stay smoking weed,-9
38,"That's why I like being a medical marijuana patient, because people are shady",-1
39,"I'm not here to argue why cannabis should be illegal, I'm simply here pulling you up on your bullshit about crime dropping.",1
40,"if ur following me one year only, u prolly think I'm some sorta huckster. if ur following the better part of the last 20 online, u likely know I'm always early. I know timing is everything just saying: look forward, not back.  #cannabis ",-9
41,Because no one is looking for work because you f8cks pay them to smoke weed and watch porn.,-9
42,"whatever you do, don't smoke spice, it's really bad compared to weed and it will fuck you up",-9
43,True that it was a concert. But drugs are drugs and it's a crime. Btw how come maggi be a drug  SSR Has Right To Get Justice,1
44,I ate some weed heavy chili last night and passed out sometime after midnight so I didn't even notice.,-9
45,One year anniversary @wax_comics!!! Happy birthday @swisscryptocat,-9
46,I thought you where the plant lady? Doesn't weed count as a plant?? ,0
47,Did you know that we offer our testing a la carte? #hemp #cannabis #cbd #thc #marijuana #mmj #testmymeds #cannabiscommunity #azmmj ,-2
48, 'Smells like weed all the damn time': Marijuana farms pop up in one red state ~ #world #USA #news,1
49,smokers: weed saved my life weed: nigga im literally jus a plant,-9
50,#legalizemarijuana #Psilocybin #systemicracism #GOPDeathCult #private #prison #industrial #complex #EndTheFilibusterNow #GQPTraitorsToDemocracy The biggest killer on the planet is stress and I still think the best medicine is and always has been cannabis. ~ Willie Nelson ,-2
51,their donors send checks to save America from evil Democrats ~ Our donors send money to evil Democrats Still no Healthcare. Cannabis food in prohibition 1915 El Paso 550 nutrients removed from Food Chain to sell drugs made from petrochemical not phytochemical from Cannabis,2
52,Making an example of her. probably one of the only things bad about marijuana it's not legalized everywhere,-2
53,Gm Happy #InternationalWomensDay2022  Feminism isn't about making women strong. Women are already strong. It's about changing the way the world perceives that strength. G.D. Anderson Comment your best women's day quote below  #women #weed #web3 ,-9
54,Big day for the https://t.co/bakLaQveWX #CannabisCommunity #cannabisnews #cannabisculture #cannabisindustry #CannabisCountdown #marijuananews #newjersey #njcannabis,-2
55,"You are amazing! We are so happy to be included in such a open, honest and kind community of women in cannabis!!",-1
56,Can't believe I just got lobbed into brown Twitter can I be weed Twitter instead,-1
57,"I've met a few people that dealt marijuana and never smoked it... Ever. They were only selling it for some side cash. Not saying this guy is doing it as a side hussel as he's number 1 , but he does not look like he partakes in his product lol",0
58,"We're also v different from Singapore in a number of crucial ways - it's not illegal to be gay or to protest, we don't routinely silence human rights defenders with defamation suits or execute people on petty drug offences, and don't get me started on migrant workers' rights... ",0
59,"Until the Feds remove cannabis from Schedule 1, the sh1t show will continue. Drugs on Schedule 1 are supposed to have no medical value. And Biden is in a geriatric stupor on the the issue. Nothing out of the White House on this.",-1
60,"Buy Bubba Kush Online $1,270.00 USD*  In stock  Brand: buy weed online Bubba Kush Experience, Bubba Kush is a very popular Indica strain among marijuana enthusiasts. The exact lineage of this strain is unknown, but it's ... ",-2
61,She looks likes she's doing a cannabis in a court of law!,1
