,text,label
24,"RT Biden has pretty quietly racked up a string of really big legislative victories. Maybe if the Republicans took a few minutes away from bullying LGBTQ folks, they could mount a counteroffensive. #bidenwins",1
440,"Said by the asshat defending and his transphobic, homophobic, and generally stupid takes. Grifter. Difference between you and Dore? Literally none.",1
656,"I dont think so?? Definitely not homophobic but Ive not looked into transphobia I know its p easy to get the name changed for IDs and stuff but Ill be honest Im still a guy on mine bc I havent gotten around to it ,:)",1
61,"RT they're right. Legend of the Galactic Heroes is a LGBTQ+ show with sex, drugs, alcohol, and lots of profanities",0
281,RT REMINDER IF YOU DEFEND THE TOOTHPASTE FLAG YOU'RE LESBOPHOBIC AND HOMOPHOBIC Y'all wanna help us lgbtq+ people? THEN LISTEN TO US RATHER INVADE US!!! You guys are such a HYPOCRITES!!! When it comes to defending shit!! YOU GUYS NEVER GAVE LESBIANS A CHANCE,2
510,"RT Hindi naman nadadaan sa ganda ng bahay ang mabuting puso. We're comfortable but my dad is really homophobic, I really cling a father figure like tatay jesse who fully accepts his children and provides for his family.",1
285,"RT When (for every1's sake) addressing years of fed/consumed/taught/Learned&Normalised discrimination/bigotry, facts (yes folks facts exist) Facts Matter That's why LGBT+ History Month 2022 is important. I recommend it. #LGBTHM22 #OTPFest22 #LGBTplusHM #educateOUTprejudice",2
137,RT If you truly support LGBTQ rights and voting Rights act please RETWEET and let's Follow each other,2
638,"The Free Speech argument is a given. We all support it. But let me get this straight. Youve got a problem with Dave making jokes about the LGBT community, but the black and nigger jokes by Carlin are fine?",0
161,Not an excuse. Its an actual fact. We are a country with a high mortality rate when it comes to pregnancy. Also not everyone is just going out and having sex with everyone but if they are they shouldnt be forced to endure the trauma of birth,-9
299,God was genetic genius but he couldn't solve same sex marriage ? Im assuming you think that is a mortal sin .,1
877,RT Butterflies in my stomach keep growing se were getting closer and closer to my trip to get my ancestral markings!!! I only received enough just for one taxi trip to the airport shuttle office. I paid for the rest of it ojt of pocket. LGBT allies & white people spread cheer today! ,1
162,RT Same freshman was being quite a bit more homophobic today. Bringing up the bible and shit. Shut the hell up I'll litera,1
836,"RT APAM From LGBT to LGBT+: The evolving recognition of identity: The terms for the community of people that encompasses people who are lesbian, gay, bisexual, transgender, queer, intersex, and asexual are as broad as that... View article... ",2
260,"Compared to 1.946 femicides (by men) in the same year, also in the U.S. alone? Sure, youre far more at risk. And in which way do you openly show your sexual orientation? How should one even know? By the way, big surprise for you: women can be bisexual, too. 2/2",1
196,Maybe if you educated yourself you would have known that Military folks get more than one day instead you had to attack the LGBTQ community. ,1
723,"RT NEW The King Is Dead (YA) - Gossip Girl but make it royal - a Black LGBTQ+ royal reimagining full of scandalous secrets, rollercoaster romances and one hell of a mystery. ",1
983,"RT several attacks on Trevor Project in the last few days -- between this and broadly putting kids' safety in danger by harassing supportive teachers & schools, and taking away access to resources & supportive adults, it seems like the right really does just want to kill LGBTQ kids ",2
291,Did you force yourself to have sex...? Then ylu arent forced to birth. You chose it. A woman has a 86% chance of getting pregnant from sex. Would you drive your uninsured car with the same odds of possibly killing someone.. Then why a baby,-9
486,"RT Two-tier Internet announced by pushing LGBTQ, victims of abuse and others needing anonymity under the bus, in the name of safety. ",1
996,not to mention at least half of the fandom is lgbt black/poc or something else be realistic about the whole be nice thing. bc what are they saying about us after theyve said something nasty about the character,1
666,RT Some media organizations in #Hungary have defied the outrageous anti-LGBT law by joining the #ugyanaz campaign raising awareness of the discrimination faced by #LGBT families. Its great to see Hungarian media are standing up for human rights! ,2
628,"RT The month of May has come, when every lusty heart beginneth to blossom, and to bring forth fruit. UNBRIDLED is the sequel to a sensually illuminating true story about a young man coming-of-age in a secret society & a male harem. #FreshInkGroup #LGBTQ ",1
710,"RT cishet women calling me homophobic, im a gay man!!! sorry i do not like stereotypes of gay men as representation for gay men",1
717,RT Don't sit there and tell me you support LGBTQ individuals if you bought FNAF and support this shit: ,1
647,"You telling men to lick your nuts, is in fact homophobic. You know that, right?",1
669,"Oh no, a Republican who is in favor of the LGBT, the absolute horror! He's taking a position that most people, except for the extremely old ones (who are a small minority), hold and I don't think that is a bad thing.",1
258,RT joe biden releasing his 1000+ LGBT rainbow warriors against russia ,0
570,RT The fact that the FIFA World Cup 2022 will be hosted in Qatar is disgusting. Qatar is a Racist and Homophobic country that violates Human rights. It shouldnt be allowed to host such an important event. It is an absolute disgrace. ,2
843,RT Howdy new followers! FHF is a TX based group of LGBT+ artists bringing you fresh and fashionable clothing and accessories! Where to find us: Shop: https://t.co/tjQWx7hPuX Email List: https://t.co/6dqqPj7jcN Discord: https://t.co/CgN8Dlq4Xt Twitch: ,1
748,"RT #WhatToRead #WritingCommunity #BookTwitter #AvailableNow #BrandNew #IndieAuthor #Superhero #Family #LGBT 2 books collected in 1 volume. 5 brothers, supervillains, superpowers, & superhero family dramedy ",-9
323,"No we don't. Your line of argument ignores the fact this bill is to prevent grooming, teaching kids there is more than one gender. Teaching them they may be a gender other than the one they were assigned at birth.",-1
576,"I have no hate for Laura at all. I admire all that she does. Her actions dont change the fact that when you support the Cubs, you support known homophobic, anti-abortion racists whom helped Trump get elected, then helped to undermine our democracy",1
109,"RT In a recently-uncovered video, North Carolina Lt. Governor Mark Richardson referred to his LGBTQ+ constituents as ""filth."" That's completely unacceptable. Sign the petition to urge him to resign! >> via @PeopleFor",2
45,RT We love this inclusive reading list for school students from A great resource for inspiring some independent reading over the summer holidays... ,-9
477,"RT Wish someone would join me for a steamy bath, having some issues in it Retweet for mutuals :v #nsfwtwt #femboybottom #thighpics #femboy #LGBT #twink #yaoi #trap ",-9
289,"He knows it will rile up his base to pick on LGBTQ people. High school students, no less. How sad is that? I bet conversion therapy is a big hit also. Hawking hate, but claiming to be a good Jesus follower, I'm sure. Not a care for who it hurts. And yes -- he is a hypocrite.",1
461,"I pray your daughters dont inherit your homophobia and come embarrass themselves on social media njengawe. youre way too old to be such a dumb fuck, now get out of my mentions utsho ngoba homophobic apha",1
197,"not gonna be one of those ppl who pretends that being bipoc, lgbtq, or poorer doesnt affect a lot of americans and lead to trauma but this specific situation is completely separate from that",1
757,RT The DC LGBT+ zine interest check and mod apps are now OPEN! Check the thread for links #dcfanzine #dczine ,-9
435,Lol wether she was assigned a gender at birth you cant change the human body after birth. My beef is not with a man wanting to be a female. My beef is with a biological man playing with females in a competitive setting. These women train their whole lives to compete against,-1
124,of trans people at times because hes shown to be kinda homophobic so he probably wouldnt view her in the be best light.,0
384,"RT This is pure clown world from another one of our ""academics"". No ""hate crime"" law is going to stop a lunatic from cutting peoples heads off. What we need here is proper Immigration control along with a rapid deportation system. ",-9
880,"Youre the type of Muslim that supports LGBTQ Astaghfirallah, disgusting POV, especially coming from a Muslim",-2
228,"LGBT Youth Scotland 2022 theme Blurring Borders: A World in Motion: 'By giving History Month an international focus, were inviting people & organisations across #Scotland to share their ideas about what an equal world for #LGBTQ people would look like & how to achieve it' ",2
442,RT Interested in #LGBTQ #HealthPolicy? Now accepting PhD students!! Come join the @LGBTPolicyLabVU!,1
649,You haven't read the bill. It prohibits teachers from speaking with kids between 5 and 8 years old about anything to do with sex or gender. Doesn't matter if it's straight sex or LGBTQ sex/ gender. It's NOT age appropriate. Period.,-1
743,"So if Rowling came out with racist, homophobic or antisemitism they should support her in that too because they owe her? Your logic is deeply flawed. I read what she's said. I understood what she said. She's a bigot. Just cos you share her view doesn't alter that fact.",1
