,text,label
392,"Telling by her teeth, the way she acts, and her complexion  she most likely does a lil more than weed and it ain't hard to tell her she's not there in the brain. Do with that information what you will to make a judgement on her son's behavior. ",1
761,"Stop smoking weed stupid girl, this album the boys had mentioned it already months ago, stop believing that your favs are so important.",1
3119,We'll never know the whole set of circumstances. The primary issue here is substance abuse on both partiesI mean people. Both have addiction issues that may or may not be apparent in this trial. Two addicts can't live togetherno matter how much you love someone.,1
1662,"#WeAreHiring! We are looking for a new #CrisisWorker who will casework for clients who are in crisis and in need of immediate help with acute problems, such as homelessness, substance abuse and domestic violence. Click here for more info on how to apply: ",0
3098,"RT 1/n.Jihad has been launched against NCB chief Sameer Wankhede. Why has this suddenly happened? With arrest of Shahrukh Khan's drug addict Kaput, the terrorist Dawood sitting in Karachi and the leader of ISI sitting in Rawalpindi are badly shaken.",-9
1876,"It's why we are fighting to change the rules, and have done so in many states. Marijuana possession doesn't endanger the people standing next to you. Yes, outdoors, but in close, close proximity to so many people. Plus they forged documents. But nice try with your analogy.",-2
421,This whole thing was to weed out the haters. They will face my wrath,-9
984,"RT If you got 2 , & plan on gettin the booster You easily scammed. I know the weed man be shorting y'all",-1
1116,Now that's how you pack a lunch! Come post your cannabis content and connect with the cannabis community on the new 21+ cannabis social platform 4Canna! Sign up here>>> ,-1
30,SAFE Banking should actually help the small dispensary more bc the Curaleafs and Trulieves of the world already have full credit facilities/banking services. It's many Mom & Pops stores that don't. So the misconceptions that SAFE predominently benefits Big Cannabis is baffling.,-1
1399,"""We still have people in prison for cannabis-related offenses. And that's just absurd, while companies are making lots and lots of money and the state is making lots and lots of money off the plant."" Read more from our conversation with Narmin Jarrous: ",-2
1229,In conversation with: in this podcast episode discusses their new paper looking at mortality trends in people who use illicit #opioids in #England ,-9
1295,"I only use weed as a preventive medicine. but there's a lot of diseases to prevent, so I smoke a lot of weed.",-1
2395,"every other coder I know just chills inside, listens to music, and smokes weed, I have so many regrets because this already sounds like my life",-1
581,Naw. Y'all smokin' too much weed and upsetting monsters ,-1
696,"Like maybe she was drawing a river on the chalkboard idk.  But I just looked it up and yeah bud is slang for cannabis. Apparently it's also slang for clitoris. Which is like. Huh. The more you know, I guess. ",-9
794,"https://t.co/Xt0mJgQ0ll While the exact cause of death was not announced, they found weed, opioids, tricycle, and benzodiazepines. You don't have ""trace amounts"" of these in your system unless you are on the road to recovery. Note none of those were vaccines.",1
118,"Again there's little doubt that this family made money off a drug they knew to be harmful & sold it anyway, killing many. With that logic Smollett knowingly committed a crime yet didn't kill anyone. Seems reasonable to expect that one's whose actions caused deaths should get 1/",-9
1844,Shaowik buy drugs from drug dealer as WhatsApp chat cearly shows for his Dad and they themeselves are not consuming th drugs not even Rhea so clearly thse drugs are used for Sushant only. CBI Any Update On SSR Case Conti..,0
1886,"how bout if there is a plot twist: the mother is actually want to save one of her nine children who is actually the drug dealer. to avoid her child to be taken away, she sacrifices herself. ",0
4193,"Yall blame everyone except the drug addict. I am very sympathetic towards addicts because I don't know the circumstances in their lives that push then towards using and using can make you feel better, but he didn't want help, and would do drugs behind their back.",0
925,"chad ""i'm going to inject this right in to my veins and probably kill myself"" vs virgin ""uhh this study says weed is good for you akchually""",0
366,"RT Few years ago, on Halloween, a dealer sold 100 bags of toxic weed The 100 Unirexes who smoked it where clinically dead but Psychorex found a way to resurrect them! They're now alive and the legend says that every Halloween something really special happen to them ",1
